sample_ID,t_temp,t_DO_p,t_DO,t_SpCond,t_TDS,t_SAL,t_pH,b_temp,b_DO_p,b_DO,b_SpCond,b_TDS,b_SAL,b_pH,s_temp,s_pH,b_CaCO3 ,t_CaCO3 ,b_Ammonia_N,t_Ammonia_N,b_Calcium,t_Calcium,b_Chloride,t_Chloride,b_Fluoride,t_Fluoride,b_Magnesium,t_Magnesium,b_Nitrate_Nitrite_N,t_Nitrate_Nitrite_N,b_Nitrogen_Total,t_Nitrogen_Total,b_Nitrogen_Total_Dissolved,t_Nitrogen_Total_Dissolved,b_Phosphorus_SRP,t_Phosphorus_SRP,b_Phosphorus_Total,t_Phosphorus_Total,b_Potassium,t_Potassium,b_Silica,t_Silica,b_Sodium,t_Sodium,b_Sulfate,t_Sulfate
TorontoHarbour_1403_3_TorontoIsland,16.4,84.3,8.25,335.3,0.22,0.16,7.95,16.2,86.2,8.47,333.7,0.22,0.16,7.94,17.6,7.29,98.3,98.6,0.025,0.016,37.3,37.3,28.6,28.6,0.12,0.12,9.19,9.16,0.06,0.044,0.404,0.495,0.265,0.269,0.0011,0.0015,0.0368,0.0356,1.96,1.95,0.6,0.28,17.7,17.7,23.6,23.4
TorontoHarbour_1761_1_InnerHarbourWest,17.4,91.1,8.75,322.9,0.21,0.15,8.08,17,91.7,8.83,320.9,0.21,0.15,8.06,17.5,7.24,94.2,94.1,0.055,0.053,34.9,34.8,27.2,27.2,0.11,0.11,9.13,9.1,0.252,0.25,0.261,0.267,0.296,0.266,0.0086,0.01,0.0194,0.0197,1.79,1.78,0.8,0.78,16.6,16.6,24,24
TorontoHarbour_1761_2_InnerHarbourWest,17.4,91.1,8.75,322.9,0.21,0.15,8.08,17,91.7,8.83,320.9,0.21,0.15,8.06,17.5,7.24,94.2,94.1,0.055,0.053,34.9,34.8,27.2,27.2,0.11,0.11,9.13,9.1,0.252,0.25,0.261,0.267,0.296,0.266,0.0086,0.01,0.0194,0.0197,1.79,1.78,0.8,0.78,16.6,16.6,24,24
TorontoHarbour_1761_3_InnerHarbourWest,17.4,91.1,8.75,322.9,0.21,0.15,8.08,17,91.7,8.83,320.9,0.21,0.15,8.06,17.5,7.24,94.2,94.1,0.055,0.053,34.9,34.8,27.2,27.2,0.11,0.11,9.13,9.1,0.252,0.25,0.261,0.267,0.296,0.266,0.0086,0.01,0.0194,0.0197,1.79,1.78,0.8,0.78,16.6,16.6,24,24
TorontoHarbour_1765A_1_InnerHarbourWest,16.5,92.2,8.99,319.4,0.21,0.15,8.08,16.1,94.3,9.27,318.2,0.21,0.15,8.09,16.7,7.24,91.6,91.8,0.047,0.047,34.9,34.8,27,27.2,0.11,0.11,9.1,9.04,0.259,0.254,0.75,0.263,0.237,0.217,0.0084,0.0076,0.023,0.0171,1.77,1.76,0.66,0.71,16.4,16.3,24.2,24.1
TorontoHarbour_1765A_2_InnerHarbourWest,16.5,92.2,8.99,319.4,0.21,0.15,8.08,16.1,94.3,9.27,318.2,0.21,0.15,8.09,16.7,7.24,91.6,91.8,0.047,0.047,34.9,34.8,27,27.2,0.11,0.11,9.1,9.04,0.259,0.254,0.75,0.263,0.237,0.217,0.0084,0.0076,0.023,0.0171,1.77,1.76,0.66,0.71,16.4,16.3,24.2,24.1
TorontoHarbour_1765A_3_InnerHarbourWest,16.5,92.2,8.99,319.4,0.21,0.15,8.08,16.1,94.3,9.27,318.2,0.21,0.15,8.09,16.7,7.24,91.6,91.8,0.047,0.047,34.9,34.8,27,27.2,0.11,0.11,9.1,9.04,0.259,0.254,0.75,0.263,0.237,0.217,0.0084,0.0076,0.023,0.0171,1.77,1.76,0.66,0.71,16.4,16.3,24.2,24.1
TorontoHarbour_1772_1_InnerHarbourWest,16.4,94.5,9.25,322.2,0.21,0.15,8.14,16.2,95.3,9.35,322.1,0.21,0.15,8.15,16.5,9.34,92.3,92.5,0.046,0.043,35.2,35.3,27.6,27.6,0.11,0.11,9.12,9.15,0.255,0.255,0.272,0.289,0.251,0.246,0.0063,0.0063,0.0148,0.0159,1.79,1.79,0.69,0.69,16.8,16.8,24.1,24.1
TorontoHarbour_1772_2_InnerHarbourWest,16.4,94.5,9.25,322.2,0.21,0.15,8.14,16.2,95.3,9.35,322.1,0.21,0.15,8.15,16.5,9.34,92.3,92.5,0.046,0.043,35.2,35.3,27.6,27.6,0.11,0.11,9.12,9.15,0.255,0.255,0.272,0.289,0.251,0.246,0.0063,0.0063,0.0148,0.0159,1.79,1.79,0.69,0.69,16.8,16.8,24.1,24.1
TorontoHarbour_1772_3_InnerHarbourWest,16.4,94.5,9.25,322.2,0.21,0.15,8.14,16.2,95.3,9.35,322.1,0.21,0.15,8.15,16.5,9.34,92.3,92.5,0.046,0.043,35.2,35.3,27.6,27.6,0.11,0.11,9.12,9.15,0.255,0.255,0.272,0.289,0.251,0.246,0.0063,0.0063,0.0148,0.0159,1.79,1.79,0.69,0.69,16.8,16.8,24.1,24.1
TorontoHarbour_6699_1_InnerHarbourEast,16.7,91.4,8.88,317.3,0.21,0.15,8.11,0,85.9,8.51,429,0.28,0.21,7.89,15.4,7.22,97.3,90.9,0.106,0.048,39.7,35,57.1,26.4,0.11,0.11,8.66,9.09,0.513,0.249,0.242,0.247,0.341,0.22,0.0271,0.0069,0.0453,0.017,2.08,1.73,2.24,0.74,34.9,16.2,23.2,23.8
TorontoHarbour_6699_2_InnerHarbourEast,16.7,91.4,8.88,317.3,0.21,0.15,8.11,0,85.9,8.51,429,0.28,0.21,7.89,15.4,7.22,97.3,90.9,0.106,0.048,39.7,35,57.1,26.4,0.11,0.11,8.66,9.09,0.513,0.249,0.242,0.247,0.341,0.22,0.0271,0.0069,0.0453,0.017,2.08,1.73,2.24,0.74,34.9,16.2,23.2,23.8
TorontoHarbour_6699_3_InnerHarbourEast,16.7,91.4,8.88,317.3,0.21,0.15,8.11,0,85.9,8.51,429,0.28,0.21,7.89,15.4,7.22,97.3,90.9,0.106,0.048,39.7,35,57.1,26.4,0.11,0.11,8.66,9.09,0.513,0.249,0.242,0.247,0.341,0.22,0.0271,0.0069,0.0453,0.017,2.08,1.73,2.24,0.74,34.9,16.2,23.2,23.8
